Ulica,Numer,Miasto,Powiat,Województwo,Wielkość,Cena,Status,Właściciel

Rodziewiczówny,23,Marki,Wołomin,Mazowieckie,5,250,True,Fiat125p
Polna,83,Poznań,Poznań,Wielkopolskie,3,216,True,Fiat125p
Leśna,71,Wrocław,Wrocław,Dolnośląskie,3,212,True,Fiat125p
Słoneczna,4,Warszawa,Warszawa,Mazowieckie,5,213,False,Fiat125p
Krótka,27,Gdynia,Gdynia,Pomorskie,5,285,True,Fiat125p
Szkolna,1,Gdańsk,Gdańsk,Pomorskie,3,144,True,Fiat125p
Ogrodowa,28,Kraków,Kraków,Małopolskie,6,282,True,Fiat125p
Lipowa,65,Poznań,Poznań,Wielkopolskie,4,200,False,Fiat125p
Łąkowa,38,Poznań,Poznań,Wielkopolskie,3,148,True,Fiat125p
Brzozowa,98,Warszawa,Warszawa,Mazowieckie,4,154,True,Fiat125p
Kwiatowa,6,Gdańsk,Gdańsk,Pomorskie,6,256,True,Fiat125p
Kościelna,54,Kraków,Kraków,Małopolskie,6,121,True,Fiat125p
Sosnowa,87,Katowice,Katowice,Śląskie,3,277,False,Fiat125p
Zielona,16,Kraków,Kraków,Małopolskie,4,197,True,Fiat125p
Parkowa,38,Wrocław,Wrocław,Dolnośląskie,4,241,True,Fiat125p
Akacjowa,29,Poznań,Poznań,Wielkopolskie,5,137,True,Fiat125p
Kolejowa,7,Kraków,Kraków,Małopolskie,2,280,True,Fiat125p








